timeExposed,timeTotal,propTimeExposed,propPopExposued,events,mdrr,exposureId,outcomeId,analysisId,ExposureGroup
37625.30164557636,18634235.56729996,0.002,0.4062,30,47.5295,10,4,3,SccsVax
13214.217513178986,13957500.204751592,9e-4,0.1821,3461,3.1504,11,1,3,SccsVax
13108.472692507907,12668901.86816874,0.001,0.1821,282,13.015,11,2,3,SccsVax
13213.714689608032,13927911.40635357,9e-4,0.1821,161,21.2786,11,3,3,SccsVax
13211.188448080482,14064120.12530628,9e-4,0.1824,27,101.9416,11,4,3,SccsVax
18653.590402663314,15012548.134749155,0.0012,0.2431,3694,2.7387,12,1,3,SccsVax
18045.09949338537,13648583.308272498,0.0013,0.2431,358,9.2823,12,2,3,SccsVax
18650.559453378435,14983895.312813789,0.0012,0.2431,191,15.171,12,3,3,SccsVax
18652.603595205906,15116574.454033626,0.0012,0.2435,56,41.3643,12,4,3,SccsVax
13843.766064179888,14095080.269283194,0.001,0.1902,3503,3.0845,13,1,3,SccsVax
13520.221407211562,12797654.417832673,0.0011,0.1902,346,11.0772,13,2,3,SccsVax
13842.41097881324,14069169.374231236,0.001,0.1902,172,19.6373,13,3,3,SccsVax
13845.629813367224,14216172.170881016,0.001,0.1905,54,52.1828,13,4,3,SccsVax
7666.028040679409,12956557.201121889,6e-4,0.1127,3325,3.9992,14,1,3,SccsVax
7492.681815122212,11753867.70354601,6e-4,0.1127,265,19.5821,14,2,3,SccsVax
7664.533944409748,12934191.285059135,6e-4,0.1127,147,33.4351,14,3,3,SccsVax
7671.096931026689,13086857.676272543,6e-4,0.1129,22,190.852,14,4,3,SccsVax
424396.3148199837,38029617.55176597,0.0112,0.8082,9157,1.2986,1,1,5,SccsVax
402645.9544891853,33632273.23455901,0.012,0.8082,666,2.2577,1,2,5,SccsVax
424932.3603796025,38075480.2249573,0.0112,0.8082,395,2.8127,1,3,5,SccsVax
427214.8097116829,39560868.74836541,0.0108,0.8083,67,7.3056,1,4,5,SccsVax
334203.63778213155,31362918.829987198,0.0107,0.7324,7683,1.3361,2,1,5,SccsVax
317910.4453253881,27395206.743644528,0.0116,0.7324,581,2.3922,2,2,5,SccsVax
334638.58655964193,31416655.72162761,0.0107,0.7324,342,3.0455,2,3,5,SccsVax
336284.37467779714,33021800.229074266,0.0102,0.7324,56,8.5468,2,4,5,SccsVax
122338.24877988278,19099337.143784467,0.0064,0.428,4589,1.5868,3,1,5,SccsVax
116810.17110774409,17193114.571653083,0.0068,0.428,342,3.7238,3,2,5,SccsVax
122274.37220996173,19018160.775433492,0.0064,0.428,217,4.8514,3,3,5,SccsVax
122306.72728260176,19199131.644990012,0.0064,0.4285,30,18.9815,3,4,5,SccsVax
26334.975353685793,14056307.11081752,0.0019,0.1884,3479,2.4021,4,1,5,SccsVax
26152.400863969302,12759027.048571488,0.002,0.1884,283,8.1361,4,2,5,SccsVax
26334.37056322079,14026174.939803133,0.0019,0.1884,163,12.652,4,3,5,SccsVax
26328.523359011324,14161619.213685848,0.0019,0.1887,27,56.1242,4,4,5,SccsVax
61595.27789798118,15456576.661582965,0.004,0.2664,3790,1.8544,5,1,5,SccsVax
59779.27874827695,14057133.125429142,0.0043,0.2664,378,4.4706,5,2,5,SccsVax
61586.26724551116,15426174.947346278,0.004,0.2664,200,6.687,5,3,5,SccsVax
61589.77443123444,15554015.671411918,0.004,0.2668,65,14.6387,5,4,5,SccsVax
41476.82226448944,14364157.07508125,0.0029,0.2062,3558,2.0687,6,1,5,SccsVax
40586.79946689329,13044409.233895916,0.0031,0.2062,360,5.4454,6,2,5,SccsVax
41473.1459258707,14337129.01565261,0.0029,0.2062,180,8.7749,6,3,5,SccsVax
41480.35774603333,14481902.216456335,0.0029,0.2065,61,19.5873,6,4,5,SccsVax
20545.843821024508,13143203.60875852,0.0016,0.1263,3375,2.5954,7,1,5,SccsVax
20076.11000167809,11922102.688846864,0.0017,0.1263,268,9.6065,7,2,5,SccsVax
20541.68355918331,13119696.141302587,0.0016,0.1263,152,15.2037,7,3,5,SccsVax
20561.455307192417,13272499.107993169,0.0015,0.1265,22,79.6348,7,4,5,SccsVax
378606.36479212873,35155391.761302255,0.0108,0.7774,8445,1.3177,8,1,5,SccsVax
359328.0862269782,31100426.61353797,0.0116,0.7774,595,2.3757,8,2,5,SccsVax
379061.2625661884,35188586.92195108,0.0108,0.7774,360,2.9655,8,3,5,SccsVax
381111.8752775136,36533507.98748903,0.0104,0.7775,62,7.8565,8,4,5,SccsVax
299512.30543464504,29336890.32330781,0.0102,0.701,7167,1.357,9,1,5,SccsVax
285164.61723885435,25657037.509148426,0.0111,0.701,527,2.5172,9,2,5,SccsVax
299878.5918585144,29375636.95748597,0.0102,0.701,318,3.2019,9,3,5,SccsVax
301339.92077503476,30819741.77039457,0.0098,0.7011,54,8.9967,9,4,5,SccsVax
112888.63028885651,18531563.824129954,0.0061,0.4056,4456,1.6133,10,1,5,SccsVax
107740.88297796769,16688046.480515355,0.0065,0.4056,338,3.838,10,2,5,SccsVax
112828.94019632094,18455324.517036702,0.0061,0.4056,207,5.1196,10,3,5,SccsVax
112859.97912731885,18634235.93639143,0.0061,0.4062,30,19.7158,10,4,5,SccsVax
25224.38328862878,13957500.29720659,0.0018,0.1821,3461,2.4376,11,1,5,SccsVax
25047.282045875687,12668901.955395214,0.002,0.1821,282,8.3479,11,2,5,SccsVax
25223.81995064686,13927911.498643907,0.0018,0.1821,161,13.1007,11,3,5,SccsVax
25217.96763828062,14064120.217497831,0.0018,0.1824,27,57.889,11,4,5,SccsVax
54823.56499055216,15012548.322296653,0.0037,0.2431,3694,1.9118,12,1,5,SccsVax
53199.44824171051,13648583.486037482,0.0039,0.2431,358,4.8218,12,2,5,SccsVax
54815.73103780215,14983895.500198256,0.0037,0.2431,191,7.2634,12,3,5,SccsVax
54822.97718727146,15116574.64131979,0.0036,0.2435,56,17.5333,12,4,5,SccsVax
